Number;Name;Cycle;Latitude;Longitude;Elevation;Land;Slope;Power;Fuel;W;Description;TG;GTconf;TV;STconf;Year_Commision;Air_Cooling;Owner;Fuente
1;Hadjret En-Nouss;CCGT;36.5767;2.0797;10;1;20;1227;Natural gas;1;3x420MW (CCGT-1 9001FA);819;3x273MW;441;3x147MW;3x420MW(2009);no s_;Algerian Utilities International Ltd;http://globalenergyobservatory.org/geoid/41728
2;Koudiet;CCGT;36.873611;8.062222;30;1;10;1200;Natural gas;1;3x400MW (1+1+1 CCGT);780;3x260MW;420;3x140MW;2013;no s_;Sonelgaz;http://globalenergyobservatory.org/geoid/41726
3;Terga;CCGT;35.4608;-1.22953;49;1;20;1200;Natural gas;1;3x400MW (1+1+1 CCGT-1 KA26);780;3x260MW;420;3x140MW;3x400MW (2012);no s_;Sonelgaz;http://globalenergyobservatory.org/geoid/44783
4;Marsat El Hadjadj;OCGT;35.800278;-0.19333;10;1;6;1040;Primary: natural gas. Secondary: diesel;1;5x168MW+8x25MW;1040;5x168MW +8x25MW;0;no;5x168MW (1983) y 8x25MW (2007);no s_;Sonelgaz;http://enipedia.tudelft.nl/wiki/Marsat_El_Hadjadj_Powerplant
5;M'sila;OCGT;35.706667;4.478056;473;1;5;1026;Natural gas;0;2x250MW+3x100MW+12x18.83MW;1025.96;2x250MW+3x100MW+12x18.83MW;0;no;2x250MW (2009)+3x100MW (1988)+12x18.83MW (2013);no s_;Sonelgaz;http://enipedia.tudelft.nl/wiki/M%27sila_Powerplant https://www.linkedin.com/pub/mohamed-labgaa/28/1a0/518
6;Ras Djinet;OCGT;36.851307;3.698825;10;1;10;672;Primary: natural gas. Secondary: diesel;1;4x168MW;672;4x168MW;0;no;4x168MW (1986-1987);no s_;Sonelgaz;http://globalenergyobservatory.org/geoid/41732
7;Jijel;OCGT;36.814642;5.8765026;11;1;4;588;Primary: natural gas. Secondary: diesel;1;3x196MW;588;3x196MW;0;no;196MW(1992)+ 196MW(1993)+ 196MW(1994);no s_;Sonelgaz;http://globalenergyobservatory.org/geoid/41734
8;Berrouaghia;OCGT;36.140351;2.92952;914;1;4;500;Primary: natural gas. Secondary: diesel;0;2 x 250 MW SGT5-4000F;500;2x250;0;no;2x250(2006);no s_;Sonelgaz;"http://enipedia.tudelft.nl/wiki/Berrouaghia_Powerplant ;  http://www.industcards.com/cc-algeria.htm"
9;Msila CCGT;OCGT;35.7089;4.4768;474;1;6;500;Natural gas;0;2x250MW  (GT-1 AE94.3A);500;2x250MW;0;no;2x250MW(2007);no s_;Sonelgaz;http://globalenergyobservatory.org/geoid/44786
10;Hassi Messaoud Ouest;OCGT;31.761576;6.02296;170;1;2;492;Natural gas;0;4x123MW;492;4x123MW;0;no;2x123MW (1999)+ 123MW(2000)+ 123MW(2003);no s_;Sonelgaz;http://globalenergyobservatory.org/geoid/41727
