 y; m; dm; h;G_Gh; Ta;G_Bn; RH; p
2005;1;1;1;0;13.2;0;81;1011
2005;1;1;2;0;12.5;0;84;1011
2005;1;1;3;0;11.9;0;84;1011
2005;1;1;4;0;11.5;0;85;1011
2005;1;1;5;0;11.1;0;85;1011
2005;1;1;6;0;10.9;0;87;1011
2005;1;1;7;0;10.6;0;87;1011
2005;1;1;8;0;10.6;0;87;1011
2005;1;1;9;86;12;350;84;1011
2005;1;1;10;227;14;551;78;1011
2005;1;1;11;352;16.1;648;67;1011
2005;1;1;12;439;17.9;725;56;1011
2005;1;1;13;465;19.2;725;53;1011
2005;1;1;14;435;20;701;50;1011
2005;1;1;15;353;20.2;644;50;1011
2005;1;1;16;229;19.7;541;54;1011
2005;1;1;17;87;18.5;282;59;1011
2005;1;1;18;0;17;0;65;1011
2005;1;1;19;0;16.3;0;71;1010
2005;1;1;20;0;15.5;0;74;1010
2005;1;1;21;0;14.7;0;76;1010
2005;1;1;22;0;13.9;0;77;1010
2005;1;1;23;0;13.1;0;75;1010
2005;1;1;24;0;12.3;0;79;1010
2005;1;2;1;0;11.8;0;81;1010
2005;1;2;2;0;11.2;0;81;1009
2005;1;2;3;0;10.6;0;84;1009
2005;1;2;4;0;10.3;0;85;1009
2005;1;2;5;0;10;0;87;1009
2005;1;2;6;0;9.8;0;89;1009
2005;1;2;7;0;9.6;0;89;1009
2005;1;2;8;0;9.6;0;87;1009
2005;1;2;9;62;10.5;70;82;1008
2005;1;2;10;169;11.8;123;81;1008
2005;1;2;11;261;13.1;157;77;1008
2005;1;2;12;287;14;111;86;1008
2005;1;2;13;321;14.8;127;86;1008
2005;1;2;14;295;15;114;89;1008
2005;1;2;15;268;15.5;174;74;1008
2005;1;2;16;168;15.2;132;74;1008
2005;1;2;17;62;14.5;59;76;1009
2005;1;2;18;0;13.7;0;82;1009
2005;1;2;19;0;13.1;0;79;1009
2005;1;2;20;0;12.6;0;82;1009
2005;1;2;21;0;12;0;88;1009
2005;1;2;22;0;11.5;0;92;1009
2005;1;2;23;0;11;0;91;1010
2005;1;2;24;0;10.4;0;95;1010
2005;1;3;1;0;10;0;99;1010
2005;1;3;2;0;9.6;0;100;1010
2005;1;3;3;0;9.2;0;99;1010
2005;1;3;4;0;9;0;99;1011
2005;1;3;5;0;8.8;0;100;1011
2005;1;3;6;0;8.7;0;98;1011
2005;1;3;7;0;8.5;0;100;1011
2005;1;3;8;0;8.6;0;100;1011
2005;1;3;9;94;10.1;427;100;1012
2005;1;3;10;242;12.2;662;93;1012
2005;1;3;11;377;14.4;785;75;1012
2005;1;3;12;468;16.3;848;68;1012
2005;1;3;13;501;17.7;865;63;1012
2005;1;3;14;472;18.6;853;61;1012
2005;1;3;15;392;19;830;59;1012
2005;1;3;16;260;18.6;717;57;1012
2005;1;3;17;104;17.5;467;61;1012
2005;1;3;18;1;16.1;0;67;1013
2005;1;3;19;0;15.3;0;77;1013
2005;1;3;20;0;14.5;0;78;1013
2005;1;3;21;0;13.7;0;82;1013
2005;1;3;22;0;12.9;0;86;1013
2005;1;3;23;0;12.1;0;89;1013
2005;1;3;24;0;11.2;0;91;1013
2005;1;4;1;0;10.3;0;91;1013
2005;1;4;2;0;9.4;0;93;1013
2005;1;4;3;0;8.4;0;93;1013
2005;1;4;4;0;7.9;0;95;1013
2005;1;4;5;0;7.4;0;98;1013
2005;1;4;6;0;7;0;98;1013
2005;1;4;7;0;6.7;0;99;1013
2005;1;4;8;0;6.6;0;100;1013
2005;1;4;9;96;7.9;450;96;1013
2005;1;4;10;259;9.9;749;92;1013
2005;1;4;11;398;11.9;864;86;1013
2005;1;4;12;491;13.6;919;73;1013
2005;1;4;13;525;14.8;933;69;1013
2005;1;4;14;492;15.6;911;68;1013
2005;1;4;15;407;15.8;872;65;1013
2005;1;4;16;269;15.4;757;66;1012
2005;1;4;17;107;14.3;486;68;1012
2005;1;4;18;1;12.9;0;77;1012
2005;1;4;19;0;12.2;0;88;1012
2005;1;4;20;0;11.6;0;88;1011
2005;1;4;21;0;11;0;92;1011
2005;1;4;22;0;10.4;0;92;1011
2005;1;4;23;0;9.8;0;93;1011
2005;1;4;24;0;9.1;0;98;1011
2005;1;5;1;0;8.8;0;92;1010
2005;1;5;2;0;8.4;0;92;1010
2005;1;5;3;0;8.1;0;93;1010
2005;1;5;4;0;7.9;0;92;1010
2005;1;5;5;0;7.7;0;93;1009
2005;1;5;6;0;7.6;0;97;1009
2005;1;5;7;0;7.5;0;95;1009
2005;1;5;8;0;7.5;0;94;1009
2005;1;5;9;60;8.5;91;91;1008
2005;1;5;10;137;9.2;55;94;1008
2005;1;5;11;203;10.6;67;87;1008
2005;1;5;12;337;12.3;234;86;1008
2005;1;5;13;285;13;80;86;1008
2005;1;5;14;284;13.5;93;86;1008
2005;1;5;15;254;13.8;134;86;1008
2005;1;5;16;189;13.8;244;73;1008
2005;1;5;17;116;13.4;335;72;1008
2005;1;5;18;2;12.4;0;72;1008
2005;1;5;19;0;11.8;0;73;1009
2005;1;5;20;0;11.2;0;75;1009
2005;1;5;21;0;10.5;0;78;1009
2005;1;5;22;0;9.9;0;79;1009
2005;1;5;23;0;9.3;0;80;1009
2005;1;5;24;0;8.6;0;82;1010
2005;1;6;1;0;8;0;81;1010
2005;1;6;2;0;7.3;0;80;1010
2005;1;6;3;0;6.7;0;80;1010
2005;1;6;4;0;6.3;0;81;1010
2005;1;6;5;0;6;0;84;1011
2005;1;6;6;0;5.8;0;81;1011
2005;1;6;7;0;5.5;0;83;1011
2005;1;6;8;0;5.5;0;84;1011
2005;1;6;9;88;6.9;379;84;1011
2005;1;6;10;243;8.9;653;76;1012
2005;1;6;11;376;10.9;766;69;1012
2005;1;6;12;464;12.7;817;56;1012
2005;1;6;13;495;14;823;54;1012
2005;1;6;14;470;14.8;822;57;1012
2005;1;6;15;390;15.1;792;55;1012
2005;1;6;16;259;14.8;681;54;1012
2005;1;6;17;111;13.7;448;58;1012
2005;1;6;18;2;12.3;0;60;1012
2005;1;6;19;0;11.7;0;67;1012
2005;1;6;20;0;11;0;70;1012
2005;1;6;21;0;10.4;0;73;1012
2005;1;6;22;0;9.7;0;76;1012
2005;1;6;23;0;9.1;0;75;1012
2005;1;6;24;0;8.4;0;75;1012
2005;1;7;1;0;7.9;0;78;1012
2005;1;7;2;0;7.3;0;82;1012
2005;1;7;3;0;6.8;0;85;1012
2005;1;7;4;0;6.5;0;83;1012
2005;1;7;5;0;6.2;0;87;1012
2005;1;7;6;0;6;0;90;1012
2005;1;7;7;0;5.8;0;91;1012
2005;1;7;8;0;5.8;0;91;1012
2005;1;7;9;84;7.1;310;88;1012
2005;1;7;10;231;9;574;79;1012
2005;1;7;11;363;11;689;74;1012
2005;1;7;12;452;12.8;756;69;1012
2005;1;7;13;488;14.1;785;68;1012
2005;1;7;14;461;15;771;61;1012
2005;1;7;15;372;15.3;682;61;1011
2005;1;7;16;258;15;652;61;1011
2005;1;7;17;106;13.9;423;66;1011
2005;1;7;18;1;12.5;0;74;1011
2005;1;7;19;0;11.9;0;84;1011
2005;1;7;20;0;11.4;0;85;1011
2005;1;7;21;0;10.8;0;85;1011
2005;1;7;22;0;10.2;0;87;1010
2005;1;7;23;0;9.6;0;88;1010
2005;1;7;24;0;9;0;90;1010
2005;1;8;1;0;8.5;0;88;1010
2005;1;8;2;0;7.9;0;90;1010
2005;1;8;3;0;7.4;0;91;1010
2005;1;8;4;0;7.1;0;90;1009
2005;1;8;5;0;6.8;0;95;1009
2005;1;8;6;0;6.6;0;97;1009
2005;1;8;7;0;6.4;0;99;1009
2005;1;8;8;0;6.4;0;99;1009
2005;1;8;9;59;7.3;57;93;1009
2005;1;8;10;165;8.6;128;89;1009
2005;1;8;11;279;10.1;201;83;1008
2005;1;8;12;323;11.2;153;80;1008
2005;1;8;13;335;12;138;79;1008
